source,target,lag,std_r,std_p,decision,method,fstat,iv_coef,iv_p,proxy_r,proxy_p,val,pval,strength
Z,Z,1,0.04949689314669329,0.08668116814794308,False,forbidden,,,,,,0.0,1.0,3.0
Z,X,1,0.8835298408786841,0.0,True,standard,,,,,,0.8835298408786841,0.0,3.0
Z,Y,1,0.046331139125098585,0.10882946446193899,False,standard,,,,,,0.046331139125098585,0.10882946446193899,3.0
Z,W,1,0.006275273057647348,0.8281563372875964,False,standard,,,,,,0.006275273057647348,0.8281563372875964,3.0
X,Z,1,0.004404478920238909,0.8789079708356885,False,standard,,,,,,0.004404478920238909,0.8789079708356885,3.0
X,X,1,0.49921575700115073,1.44222661710695e-76,True,standard,,,,,,0.49921575700115073,1.44222661710695e-76,3.0
X,Y,1,0.9080902017838194,0.0,False,protected_reject,0.02322157365180649,,,0.029774257777798054,0.30294723298288995,0.0,1.0,3.0
X,W,1,0.028194683058677707,0.32933161465254346,False,standard,,,,,,0.028194683058677707,0.32933161465254346,3.0
Y,Z,1,0.036973481213406045,0.20076775712460215,False,standard,,,,,,0.036973481213406045,0.20076775712460215,3.0
Y,X,1,0.24487306262707786,7.86428247416718e-18,False,forbidden,,,,,,0.0,1.0,3.0
Y,Y,1,0.7864395653614769,1.0002878299927483e-252,True,standard,,,,,,0.7864395653614769,1.0002878299927483e-252,3.0
Y,W,1,0.023824723648057888,0.4098116100156257,False,standard,,,,,,0.023824723648057888,0.4098116100156257,3.0
W,Z,1,0.02271329563215736,0.4320053104216917,False,standard,,,,,,0.02271329563215736,0.4320053104216917,3.0
W,X,1,0.054001702051325824,0.06157998636493896,False,standard,,,,,,0.054001702051325824,0.06157998636493896,3.0
W,Y,1,0.06820135338627198,0.018183173922099397,False,standard,,,,,,0.06820135338627198,0.018183173922099397,3.0
W,W,1,0.5443678917411641,1.879564426366595e-93,False,forbidden,,,,,,0.0,1.0,3.0
